iteration,error,halfspace
0,16.16,1
1,0.8,1
2,0.8,1
3,0.512,0
4,0.32768,0
5,0.2097152,0
6,0.134217728,0
7,0.085899346,0
8,0.054975581,0
9,0.035184372,0
10,0.022517998,0
11,0.014411519,0
12,0.009223372,0
13,0.005902958,0
14,0.003777893,0
15,0.002417852,0
16,0.001547425,0
17,0.000990352,0
18,0.000633825,0
19,0.000405648,0
20,0.000259615,0
21,0.000166154,0
22,0.000106338,0
23,6.81E-05,0
24,4.36E-05,0
25,2.79E-05,0
26,1.78E-05,0
27,1.14E-05,0
28,7.31E-06,0
29,4.68E-06,0
30,2.99E-06,0
